gender,ethnicity,score,fcollege,mcollege,home,urban,unemp,wage,distance,tuition,education,income,region
1,2,39.150001525878906,1,0,1,1,6.199999809265137,8.09000015258789,0.2000000029802322,0.8891500234603882,12,0,1
0,2,48.869998931884766,0,0,1,1,6.199999809265137,8.09000015258789,0.2000000029802322,0.8891500234603882,12,1,1
1,2,48.7400016784668,0,0,1,1,6.199999809265137,8.09000015258789,0.2000000029802322,0.8891500234603882,12,1,1
1,0,40.400001525878906,0,0,1,1,6.199999809265137,8.09000015258789,0.2000000029802322,0.8891500234603882,12,1,1
0,2,40.47999954223633,0,0,0,1,5.599999904632568,8.09000015258789,0.4000000059604645,0.8891500234603882,13,1,1
1,2,54.709999084472656,0,0,1,1,5.599999904632568,8.09000015258789,0.4000000059604645,0.8891500234603882,12,1,1
0,2,56.06999969482422,0,0,1,0,7.199999809265137,8.850000381469727,0.4000000059604645,0.8498799800872803,13,1,1
0,2,54.84999847412109,0,0,1,0,7.199999809265137,8.850000381469727,0.4000000059604645,0.8498799800872803,15,1,1
1,2,64.73999786376953,1,0,1,1,5.900000095367432,8.09000015258789,3.0,0.8891500234603882,13,1,1
0,2,56.060001373291016,0,0,1,1,5.900000095367432,8.09000015258789,3.0,0.8891500234603882,15,1,1
0,2,42.220001220703125,0,0,1,1,5.900000095367432,8.09000015258789,3.0,0.8891500234603882,12,0,1
0,0,61.18000030517578,0,1,1,1,5.900000095367432,8.09000015258789,3.0,0.8891500234603882,14,0,1
1,2,59.84999847412109,0,0,1,0,7.199999809265137,8.850000381469727,0.1000000014901161,0.8498799800872803,15,1,1
0,2,58.77000045776367,1,0,1,0,7.199999809265137,8.850000381469727,0.1000000014901161,0.8498799800872803,17,0,1
0,0,53.720001220703125,1,1,1,0,7.199999809265137,8.850000381469727,0.1000000014901161,0.8498799800872803,14,1,1
1,2,61.52000045776367,0,0,1,0,7.199999809265137,8.850000381469727,0.1000000014901161,0.8498799800872803,15,1,1
0,2,52.52999877929688,0,0,1,0,7.199999809265137,8.850000381469727,0.1000000014901161,0.8498799800872803,12,0,1
0,2,45.0099983215332,0,0,1,0,7.199999809265137,8.850000381469727,0.1000000014901161,0.8498799800872803,12,1,1
0,2,57.709999084472656,0,0,1,0,7.199999809265137,8.850000381469727,0.1000000014901161,0.8498799800872803,16,1,1
0,2,59.36000061035156,1,1,1,0,7.199999809265137,8.850000381469727,0.1000000014901161,0.8498799800872803,16,0,1
0,2,50.93000030517578,0,0,1,0,7.699999809265137,7.039999961853027,0.5,0.902999997138977,13,1,1
1,2,59.560001373291016,1,0,1,0,7.699999809265137,7.039999961853027,0.5,0.902999997138977,14,0,1
1,2,58.459999084472656,1,1,1,0,7.699999809265137,7.039999961853027,0.5,0.902999997138977,13,1,1
0,2,55.70000076293945,0,0,0,0,7.699999809265137,7.039999961853027,0.5,0.902999997138977,16,1,1
1,2,60.810001373291016,0,0,1,0,7.699999809265137,7.039999961853027,0.5,0.902999997138977,15,1,1
0,0,40.59999847412109,0,0,1,0,5.400000095367432,8.850000381469727,0.8999999761581421,0.8498799800872803,12,1,1
